country,gdp_pc,hdi,population,tfwtrwr
Eritrea,533.1,0.3909,5228.0,7.956
Estonia,17282.0,0.8608,1313.0,13.43
Ethiopia,619.1,0.4418,99391.0,8.648
Fiji,4916.0,0.7271,892.1,0.2974
Finland,41795.0,0.8827,5503.0,5.965
France,37581.0,0.8881,64395.0,14.13
Gabon,8313.0,0.6835,1725.0,0.0838
Georgia,3491.0,0.7541,4000.0,2.8789999999999996
Germany,41641.0,0.9161,80689.0,21.42
Greece,17800.0,0.8652,10955.0,14.02
Grenada,9159.0,0.75,106.8,7.05
Guatemala,3903.0,0.6272,16343.0,2.5989999999999998
Guinea,531.3,0.4113,12609.0,0.2448
Guyana,4127.0,0.6357,767.1,0.5332
Haiti,828.8,0.4834,10711.0,10.33
Honduras,2496.0,0.6061,8075.0,1.744
Hungary,12278.0,0.8284,9855.0,4.857
Iceland,50390.0,0.8994,329.4,0.1637
India,1579.0,0.6087,1311051.0,33.88
Iran (Islamic Republic of),5372.0,0.7656,79109.0,67.96
Ireland,50768.0,0.9155,4688.0,1.456
Israel,36706.0,0.8943,8064.0,79.72
Italy,30269.0,0.873,59798.0,28.1
Jamaica,5015.0,0.7185,2793.0,7.5
Japan,32550.0,0.8906,126573.0,18.89
Jordan,4940.0,0.7483,7595.0,117.8
Kazakhstan,10440.0,0.7879999999999999,17625.0,18.43
Kenya,1377.0,0.5484,46050.0,10.48
Kuwait,29034.0,0.8163,3892.0,2075.0
Kyrgyzstan,1106.0,0.6553,5940.0,32.63
Lao People's Democratic Republic,1812.0,0.575,6802.0,1.047
Latvia,13723.0,0.8188,1970.0,0.6754
Lebanon,8050.0,0.7689,5851.0,24.34
Libya,4644.0,0.7245,6278.0,822.9
Lithuania,14331.0,0.8394,2878.0,2.557
Luxembourg,101911.0,0.8919,567.1,1.2309999999999999
Madagascar,411.8,0.5099,24235.0,4.024
Malawi,381.4,0.4454,17215.0,7.853
Malaysia,9759.0,0.7792,30331.0,1.931
Maldives,8641.0,0.7064,363.7,15.67
Mali,744.3,0.4193,17600.0,4.322
Malta,23030.0,0.8390000000000001,418.7,44.36
Mauritania,1338.0,0.5059,4068.0,11.82
Mauritius,9042.0,0.7766,1273.0,26.35
Mexico,8975.0,0.7562,127017.0,18.55
Mongolia,3974.0,0.7266,2959.0,1.5830000000000002
Morocco,2909.0,0.628,34378.0,35.69
Mozambique,525.0,0.4164,27978.0,0.6785
Namibia,4695.0,0.6276,2459.0,0.7063
Nepal,732.3,0.5475,28514.0,4.518
Netherlands,44490.0,0.9218,16925.0,11.78
New Zealand,38419.0,0.9135,4529.0,1.591
Nicaragua,2087.0,0.6314,6082.0,0.9392
Niger,359.0,0.3483,19899.0,2.889
Nigeria,2640.0,0.514,182202.0,4.357
Norway,74458.0,0.9439,5211.0,0.77
Occupied Palestinian Territory,2716.0,0.6775,4668.0,48.75
Oman,15643.0,0.7929999999999999,4491.0,84.71
Pakistan,1429.0,0.5384,188925.0,74.35
Panama,13269.0,0.7797,3929.0,0.7444
Papua New Guinea,2222.0,0.5053,7619.0,0.049
Paraguay,4161.0,0.6792,6639.0,0.6222
Peru,6119.0,0.7342,31377.0,0.7213
Philippines,2900.0,0.6682,100699.0,17.03
Poland,12302.0,0.8427,38612.0,18.96
Portugal,19227.0,0.8301,10350.0,11.82
Puerto Rico,27966.0,,3683.0,14.32
Qatar,74720.0,0.8498,2235.0,374.1
Republic of Korea,27439.0,0.8983,50293.0,41.66
Republic of Moldova,1610.0,0.6933,4069.0,8.68
Romania,9123.0,0.7928,19511.0,3.0269999999999997
Russian Federation,9271.0,0.7979,143457.0,1.348
Saint Kitts and Nevis,16590.0,0.7519,55.57,51.25
Saint Lucia,7764.0,0.7291,185.0,14.3
Saint Vincent and the Grenadines,6862.0,0.72,109.5,7.9
Saudi Arabia,20482.0,0.8373,31540.0,943.3
Senegal,910.8,0.4659,15129.0,5.699
Serbia,4125.0,0.7711,8851.0,2.559
Sierra Leone,693.4,0.4128,6453.0,0.1326
Slovakia,15957.0,0.8436,5426.0,1.1159999999999999
Slovenia,20671.0,0.8803,2068.0,3.627
Somalia,551.9,,10787.0,22.44
South Africa,5744.0,0.6659,54490.0,30.19
South Sudan,730.6,0.4667,12340.0,1.329
Spain,26018.0,0.8761,46122.0,32.96
Sri Lanka,3974.0,0.7567,20715.0,24.53
Sudan,2089.0,0.4791,40235.0,71.24
Suriname,8983.0,0.7143,543.0,0.6221
Sweden,50414.0,0.9068,9779.0,1.545
Switzerland,80130.0,0.9296,8299.0,3.748
Syrian Arab Republic,2080.0,0.5937,18502.0,84.17
Tajikistan,925.9,0.6245,8482.0,51.07
Thailand,5812.0,0.7258,67959.0,13.07
The former Yugoslav Republic of Macedonia,4854.0,0.7473,2078.0,8.613
Timor-Leste,1192.0,0.5948,1185.0,14.27
Togo,547.9,0.4835,7305.0,1.15
Trinidad and Tobago,20445.0,0.7719,1360.0,8.755
Tunisia,3822.0,0.7212,11254.0,69.71
Turkey,9127.0,0.7611,78666.0,19.83
Turkmenistan,6947.0,0.6875,5374.0,112.5
Uganda,675.6,0.4827,39032.0,1.06
Ukraine,2022.0,0.747,44824.0,8.471
United Arab Emirates,40406.0,0.8355,9157.0,1867.0
United Kingdom,44039.0,0.9067,64716.0,5.454
United Republic of Tanzania,839.6,0.5212,53470.0,5.385
United States of America,55629.0,0.915,321774.0,13.64
Uzbekistan,2232.0,0.6755,29893.0,100.6
Venezuela (Bolivarian Republic of),11926.0,0.7623,31108.0,1.7069999999999999
Viet Nam,2076.0,0.6657,93448.0,9.259
Yemen,1340.0,0.4981,26832.0,168.6
Zambia,1308.0,0.5855,16212.0,1.5
Zimbabwe,890.4,0.5087,15603.0,17.85
