country,water_access,gdp_pc,hdi,population
Mexico,0.961,8975.0,0.7562,127017.0
Micronesia (Federated States of),0.89,3044.0,0.6396,104.5
Monaco,1.0,162430.0,,37.73
Mongolia,0.644,3974.0,0.7266,2959.0
Montenegro,0.997,6380.0,0.8022,625.8
Morocco,0.8540000000000001,2909.0,0.628,34378.0
Mozambique,0.511,525.0,0.4164,27978.0
Myanmar,0.8059999999999999,1204.0,0.5356,53897.0
Namibia,0.91,4695.0,0.6276,2459.0
Nauru,0.965,,,10.22
Nepal,0.9159999999999999,732.3,0.5475,28514.0
Netherlands,1.0,44490.0,0.9218,16925.0
New Zealand,1.0,38419.0,0.9135,4529.0
Nicaragua,0.87,2087.0,0.6314,6082.0
Niger,0.5820000000000001,359.0,0.3483,19899.0
Nigeria,0.685,2640.0,0.514,182202.0
Niue,0.985,,,1.61
Norway,1.0,74458.0,0.9439,5211.0
Occupied Palestinian Territory,0.584,2716.0,0.6775,4668.0
Oman,0.934,15643.0,0.7929999999999999,4491.0
Pakistan,0.914,1429.0,0.5384,188925.0
Panama,0.9470000000000001,13269.0,0.7797,3929.0
Papua New Guinea,0.4,2222.0,0.5053,7619.0
Paraguay,0.98,4161.0,0.6792,6639.0
Peru,0.867,6119.0,0.7342,31377.0
Philippines,0.9179999999999999,2900.0,0.6682,100699.0
Poland,0.983,12302.0,0.8427,38612.0
Portugal,1.0,19227.0,0.8301,10350.0
Qatar,1.0,74720.0,0.8498,2235.0
Republic of Moldova,0.884,1610.0,0.6933,4069.0
Romania,1.0,9123.0,0.7928,19511.0
Russian Federation,0.9690000000000001,9271.0,0.7979,143457.0
Rwanda,0.7609999999999999,697.3,0.4832,11610.0
Saint Kitts and Nevis,0.983,16590.0,0.7519,55.57
Saint Lucia,0.963,7764.0,0.7291,185.0
Saint Vincent and the Grenadines,0.951,6862.0,0.72,109.5
Samoa,0.99,3939.0,0.7021,193.2
Sao Tome and Principe,0.971,1773.0,0.555,190.3
Saudi Arabia,0.97,20482.0,0.8373,31540.0
Senegal,0.785,910.8,0.4659,15129.0
Serbia,0.992,4125.0,0.7711,8851.0
Seychelles,0.9570000000000001,14903.0,0.7725,96.47
Sierra Leone,0.626,693.4,0.4128,6453.0
Singapore,1.0,52284.0,0.9118,5604.0
Slovakia,1.0,15957.0,0.8436,5426.0
Slovenia,0.995,20671.0,0.8803,2068.0
Solomon Islands,0.8079999999999999,1982.0,0.5056,583.6
South Africa,0.932,5744.0,0.6659,54490.0
South Sudan,0.5870000000000001,730.6,0.4667,12340.0
Spain,1.0,26018.0,0.8761,46122.0
Sri Lanka,0.956,3974.0,0.7567,20715.0
Suriname,0.948,8983.0,0.7143,543.0
Swaziland,0.741,3155.0,0.5306,1287.0
Sweden,1.0,50414.0,0.9068,9779.0
Switzerland,1.0,80130.0,0.9296,8299.0
Syrian Arab Republic,0.9009999999999999,2080.0,0.5937,18502.0
Tajikistan,0.738,925.9,0.6245,8482.0
Thailand,0.978,5812.0,0.7258,67959.0
The former Yugoslav Republic of Macedonia,0.9940000000000001,4854.0,0.7473,2078.0
Timor-Leste,0.7190000000000001,1192.0,0.5948,1185.0
Togo,0.631,547.9,0.4835,7305.0
Tokelau,1.0,,,1.25
Tonga,0.996,4090.0,0.7170000000000001,106.2
Trinidad and Tobago,0.951,20445.0,0.7719,1360.0
Tunisia,0.977,3822.0,0.7212,11254.0
Turkey,1.0,9127.0,0.7611,78666.0
Tuvalu,0.977,3816.0,,9.92
Uganda,0.79,675.6,0.4827,39032.0
Ukraine,0.9620000000000001,2022.0,0.747,44824.0
United Arab Emirates,0.996,40406.0,0.8355,9157.0
United Kingdom,1.0,44039.0,0.9067,64716.0
United Republic of Tanzania,0.556,839.6,0.5212,53470.0
United States of America,0.992,55629.0,0.915,321774.0
Uruguay,0.997,15572.0,0.7928,3432.0
Vanuatu,0.945,3080.0,0.5939,264.6
Venezuela (Bolivarian Republic of),0.9309999999999999,11926.0,0.7623,31108.0
Viet Nam,0.976,2076.0,0.6657,93448.0
Zambia,0.654,1308.0,0.5855,16212.0
Zimbabwe,0.769,890.4,0.5087,15603.0
